Timestamp;Log Entry Type;Data
12;1;3,1,0,0,0
12;1;3,2,0,0,0,0,0,0,0
1001;4;Controlling something...
1001;3;20202020
22;1;3,1,-3232,28820,334503
22;1;3,2,39604,26235,645151,281,63030,19750,334494
32;1;3,1,-3232,28820,334603
32;1;3,2,39604,26235,645151,281,63030,19750,334494
42;1;3,1,-3232,28820,334603
42;1;3,2,39604,26235,645151,281,63030,19750,334494
52;1;3,1,-3232,28820,334603
52;1;3,2,39614,26239,645166,527,62842,19846,334534
62;1;3,1,-3232,28820,334603
62;1;3,2,39614,26239,645166,527,62842,19846,334534
72;1;3,1,-3232,28820,334603
72;1;3,2,39614,26239,645166,527,62842,19846,334534
82;1;3,1,-3232,28820,334603
82;1;3,2,39614,26239,645166,527,62842,19846,334534
92;1;3,1,-3232,28820,334603
92;1;3,2,39603,26232,645259,16642,62914,19519,334574
102;1;3,1,-3232,28820,334603
102;1;3,2,39603,26232,645259,16642,62914,19519,334574
112;1;3,1,-3232,28820,334603
112;1;3,2,39603,26232,645259,16642,62914,19519,334574
122;1;3,1,-3232,28820,334603
122;1;3,2,39603,26232,645259,16642,62914,19519,334574
132;1;3,1,-3232,28820,334703
132;1;3,2,39627,26249,645334,258,62852,19311,334614
142;1;3,1,-3232,28820,334703
142;1;3,2,39627,26249,645334,258,62852,19311,334614
152;1;3,1,-3232,28820,334703
152;1;3,2,39627,26249,645334,258,62852,19311,334614
162;1;3,1,-3232,28820,334703
162;1;3,2,39627,26249,645334,258,62852,19311,334614
172;1;3,1,-3232,28820,334703
172;1;3,2,39642,26256,645291,16463,62947,19486,334654
182;1;3,1,-3232,28820,334703
182;1;3,2,39642,26256,645291,16463,62947,19486,334654
192;1;3,1,-3232,28820,334703
192;1;3,2,39642,26256,645291,16463,62947,19486,334654
202;1;3,1,-3232,28820,334703
202;1;3,2,39642,26256,645291,16463,62947,19486,334654
212;1;3,1,-3232,28820,334703
212;1;3,2,39618,26245,645132,403,63022,19598,334694
222;1;3,1,-3232,28820,334703
222;1;3,2,39618,26245,645132,403,63022,19598,334694
232;1;3,1,-3232,28820,334803
232;1;3,2,39618,26245,645132,403,63022,19598,334694
242;1;3,1,-3232,28820,334803
242;1;3,2,39618,26245,645132,403,63022,19598,334694
252;1;3,1,-3232,28820,334803
252;1;3,2,39609,26246,645141,510,62774,19862,334734
262;1;3,1,-3232,28820,334803
262;1;3,2,39609,26246,645141,510,62774,19862,334734
272;1;3,1,-3232,28820,334803
272;1;3,2,39609,26246,645141,510,62774,19862,334734
282;1;3,1,-3232,28820,334803
282;1;3,2,39609,26246,645141,510,62774,19862,334734
