Timestamp;Log Entry Type;Data
201;1;1,3,0,0,0,0,0,0,0,0,0,0
201;1;2,3,0,0,0,0,0,0,0,0,0,0
203;1;3,3,0,0,0,0,0,0,0,0,0,0
511;1;1,1,0,0,0
511;1;1,2,0,0,0,0,0,0,0
511;1;2,1,0,0,0
511;1;2,2,0,0,0,0,0,0,0
511;1;3,1,0,0,0
502;1;1,3,0,0,0,0,0,0,0,0,0,0
511;1;3,2,0,0,0,0,0,0,0
502;1;2,3,0,0,0,0,0,0,0,0,0,0
504;1;3,3,0,0,0,0,0,0,0,0,0,0
521;1;1,1,94849,2325,573
521;1;1,2,0,0,0,0,0,0,0
521;1;2,1,94818,2235,573
521;1;2,2,0,0,0,0,0,0,0
521;1;3,1,0,0,0
521;1;3,2,0,0,0,0,0,0,0
531;1;1,1,94827,2323,583
531;1;1,2,0,0,0,0,0,0,0
531;1;2,1,94799,2235,583
531;1;2,2,0,0,0,0,0,0,0
531;1;3,1,0,0,0
531;1;3,2,0,0,0,0,0,0,0
541;1;1,1,94845,2323,593
541;1;1,2,0,0,0,0,0,0,0
541;1;2,1,94814,2233,593
541;1;2,2,0,0,0,0,0,0,0
541;1;3,1,0,0,0
541;1;3,2,0,0,0,0,0,0,0
551;1;1,1,94831,2325,603
551;1;1,2,0,0,0,0,0,0,0
551;1;2,1,94818,2235,603
551;1;2,2,0,0,0,0,0,0,0
551;1;3,1,0,0,0
551;1;3,2,0,0,0,0,0,0,0
561;1;1,1,94849,2325,613
561;1;1,2,0,0,0,0,0,0,0
561;1;2,1,94818,2235,613
561;1;2,2,0,0,0,0,0,0,0
561;1;3,1,0,0,0
561;1;3,2,0,0,0,0,0,0,0
571;1;1,1,94831,2325,623
571;1;1,2,0,0,0,0,0,0,0
571;1;2,1,94818,2235,623
571;1;2,2,0,0,0,0,0,0,0
571;1;3,1,0,0,0
571;1;3,2,0,0,0,0,0,0,0
581;1;1,1,94831,2325,633
581;1;1,2,0,0,0,0,0,0,0
581;1;2,1,94799,2235,633
581;1;2,2,0,0,0,0,0,0,0
581;1;3,1,0,0,0
581;1;3,2,0,0,0,0,0,0,0
591;1;1,1,94845,2323,643
591;1;1,2,0,0,0,0,0,0,0
591;1;2,1,94818,2235,643
591;1;2,2,0,0,0,0,0,0,0
