Timestamp;Log Entry Type;Data
12;1;3,1,0,0,0
12;1;3,2,0,0,0,0,0,0,0
1001;4;Controlling something...
1001;3;20202020
22;1;3,1,-3232,28820,3403
22;1;3,2,32,31,398,8,922,504,3391
32;1;3,1,-3232,28820,3423
32;1;3,2,32,31,398,8,922,504,3391
42;1;3,1,-3232,28820,3423
42;1;3,2,32,31,398,8,922,504,3391
52;1;3,1,-3232,28820,3443
52;1;3,2,32,31,398,8,922,504,3391
62;1;3,1,-3232,28820,3443
62;1;3,2,32,31,398,8,922,504,3391
72;1;3,1,-3232,28820,3463
72;1;3,2,32,31,398,8,922,504,3391
82;1;3,1,-3232,28820,3463
82;1;3,2,32,31,394,9,922,504,3471
92;1;3,1,-3232,28820,3483
92;1;3,2,32,31,394,9,922,504,3471
102;1;3,1,-3232,28820,3483
102;1;3,2,32,31,394,9,922,504,3471
112;1;3,1,-3232,28820,3503
112;1;3,2,32,31,394,9,922,504,3471
122;1;3,1,-3232,28820,3503
122;1;3,2,32,31,394,9,922,504,3471
132;1;3,1,-3232,28820,3523
132;1;3,2,32,31,394,9,922,504,3471
142;1;3,1,-3232,28820,3523
142;1;3,2,32,31,394,9,922,504,3471
152;1;3,1,-3232,28820,3543
152;1;3,2,32,31,394,9,922,504,3471
162;1;3,1,-3232,28820,3543
162;1;3,2,32,31,393,14,919,504,3551
172;1;3,1,-3232,28820,3563
172;1;3,2,32,31,393,14,919,504,3551
182;1;3,1,-3232,28820,3563
182;1;3,2,32,31,393,14,919,504,3551
192;1;3,1,-3232,28820,3583
192;1;3,2,32,31,393,14,919,504,3551
202;1;3,1,-3232,28820,3583
202;1;3,2,32,31,393,14,919,504,3551
212;1;3,1,-3232,28820,3603
212;1;3,2,32,31,393,14,919,504,3551
222;1;3,1,-3232,28820,3603
222;1;3,2,32,31,393,14,919,504,3551
232;1;3,1,-3232,28820,3623
232;1;3,2,32,31,393,12,919,504,3551
242;1;3,1,-3232,28820,3623
242;1;3,2,32,31,395,12,922,504,3631
252;1;3,1,-3232,28820,3643
252;1;3,2,32,31,395,12,922,504,3631
262;1;3,1,-3232,28820,3643
262;1;3,2,32,31,395,12,922,504,3631
272;1;3,1,-3232,28820,3663
272;1;3,2,32,31,395,12,922,504,3631
282;1;3,1,-3232,28820,3663
282;1;3,2,32,31,395,12,922,504,3631
292;1;3,1,-3232,28820,3683
292;1;3,2,32,31,395,12,922,504,3631
302;1;3,1,-3232,28820,3683
302;1;3,2,32,31,395,12,922,504,3631
312;1;3,1,-3232,28820,3703
312;1;3,2,32,31,395,8,922,504,3631
322;1;3,1,-3232,28820,3703
