Timestamp;Log Entry Type;Data
1;3;0,0,0
1;4;0,0,0
4;2;1
11;1;1,1,0,0,0
11;1;1,2,0,0,0,0,0,0,0
11;1;2,1,0,0,0
11;1;2,2,0,0,0,0,0,0,0
11;1;3,1,0,0,0
11;1;3,2,0,0,0,0,0,0,0
13;3;0,0,0
13;4;0,0,0
21;1;1,1,95574,3364,29203
21;1;1,2,-12,53,-1052,7,-9,-14,29194
21;1;2,1,95551,3291,29113
17;2;1
21;1;2,2,-45,-20,-1019,2,-15,-9,29104
21;1;3,1,0,0,0
21;1;3,2,0,0,0,0,0,0,0
23;3;0,0,0
23;4;0,0,0
31;1;1,1,95555,3364,29213
31;1;1,2,-13,54,-1053,8,-9,-14,29204
31;1;2,1,95551,3291,29123
27;2;1
31;1;2,2,-44,-20,-1018,2,-15,-8,29114
31;1;3,1,0,0,0
31;1;3,2,0,0,0,0,0,0,0
33;3;0,0,0
33;4;0,0,0
41;1;1,1,95574,3364,29223
41;1;1,2,-12,54,-1052,8,-8,-14,29214
41;1;2,1,95531,3291,29133
37;2;1
41;1;2,2,-44,-20,-1020,2,-14,-8,29124
41;1;3,1,0,0,0
41;1;3,2,0,0,0,0,0,0,0
43;3;0,0,0
43;4;0,0,0
51;1;1,1,95555,3364,29233
51;1;1,2,-12,53,-1052,9,-9,-14,29224
51;1;2,1,95551,3291,29143
46;2;1
51;1;2,2,-45,-21,-1021,2,-15,-8,29134
51;1;3,1,0,0,0
51;1;3,2,0,0,0,0,0,0,0
52;3;0,0,0
52;4;0,0,0
61;1;1,1,95574,3364,29243
61;1;1,2,-11,52,-1051,8,-9,-13,29234
61;1;2,1,95551,3291,29153
61;1;2,2,-46,-22,-1019,1,-14,-8,29144
61;1;3,1,0,0,0
61;1;3,2,0,0,0,0,0,0,0
55;2;1
61;3;0,0,0
61;4;0,0,0
71;1;1,1,95555,3364,29253
71;1;1,2,-12,51,-1050,8,-10,-14,29244
71;1;2,1,95551,3291,29163
71;1;2,2,-46,-22,-1020,1,-14,-8,29154
71;1;3,1,0,0,0
71;1;3,2,0,0,0,0,0,0,0
64;2;1
71;3;0,0,0
71;4;0,0,0
81;1;1,1,95574,3364,29263
81;1;1,2,-12,52,-1051,8,-9,-14,29254
81;1;2,1,95551,3291,29173
81;1;2,2,-45,-22,-1022,2,-14,-8,29164
81;1;3,1,0,0,0
81;1;3,2,0,0,0,0,0,0,0
74;2;1
