Timestamp;Log Entry Type;Data
1001;4;Controlling something...
1001;3;20202020
11;1;3,1,0,0,0
11;1;3,2,0,0,0,0,0,0,0
21;1;3,1,-3232,28820,13603
21;1;3,2,-83,40,967,5,-115,2512,13599
31;1;3,1,-3232,28820,13703
31;1;3,2,-83,40,967,5,-115,2512,13599
41;1;3,1,-3232,28820,13703
41;1;3,2,-83,40,967,5,-115,2512,13599
51;1;3,1,-3232,28820,13703
51;1;3,2,-95,40,978,-112,-466,2616,13639
61;1;3,1,-3232,28820,13703
61;1;3,2,-95,40,978,-112,-466,2616,13639
71;1;3,1,-3232,28820,13703
71;1;3,2,-95,40,978,-112,-466,2616,13639
81;1;3,1,-3232,28820,13703
81;1;3,2,-95,40,978,-112,-466,2616,13639
91;1;3,1,-3232,28820,13703
91;1;3,2,-92,58,923,100,-358,2381,13679
101;1;3,1,-3232,28820,13703
101;1;3,2,-92,58,923,100,-358,2381,13679
111;1;3,1,-3232,28820,13703
111;1;3,2,-92,58,923,100,-358,2381,13679
121;1;3,1,-3232,28820,13703
121;1;3,2,-92,58,923,100,-358,2381,13679
131;1;3,1,-3232,28820,13803
131;1;3,2,-86,49,983,-20,-296,2516,13719
141;1;3,1,-3232,28820,13803
141;1;3,2,-86,49,983,-20,-296,2516,13719
151;1;3,1,-3232,28820,13803
151;1;3,2,-86,49,983,-20,-296,2516,13719
161;1;3,1,-3232,28820,13803
161;1;3,2,-86,49,983,-20,-296,2516,13719
171;1;3,1,-3232,28820,13803
171;1;3,2,-80,60,967,18,-532,2732,13759
181;1;3,1,-3232,28820,13803
181;1;3,2,-80,60,967,18,-532,2732,13759
191;1;3,1,-3232,28820,13803
191;1;3,2,-80,60,967,18,-532,2732,13759
201;1;3,1,-3232,28820,13803
201;1;3,2,-80,60,967,18,-532,2732,13759
211;1;3,1,-3232,28820,13803
211;1;3,2,-83,60,974,36,-275,2340,13799
221;1;3,1,-3232,28820,13803
221;1;3,2,-83,60,974,36,-275,2340,13799
231;1;3,1,-3232,28820,13903
231;1;3,2,-83,60,974,36,-275,2340,13799
241;1;3,1,-3232,28820,13903
241;1;3,2,-83,60,974,36,-275,2340,13799
251;1;3,1,-3232,28820,13903
251;1;3,2,-93,64,991,107,-132,2661,13839
261;1;3,1,-3232,28820,13903
261;1;3,2,-93,64,991,107,-132,2661,13839
271;1;3,1,-3232,28820,13903
271;1;3,2,-93,64,991,107,-132,2661,13839
281;1;3,1,-3232,28820,13903
281;1;3,2,-93,64,991,107,-132,2661,13839
291;1;3,1,-3232,28820,13903
291;1;3,2,-78,69,980,34,-389,2498,13879
301;1;3,1,-3232,28820,13903
301;1;3,2,-78,69,980,34,-389,2498,13879
311;1;3,1,-3232,28820,13903
311;1;3,2,-78,69,980,34,-389,2498,13879
321;1;3,1,-3232,28820,13903
321;1;3,2,-78,69,980,34,-389,2498,13879
331;1;3,1,-3232,28820,14003
331;1;3,2,-78,60,960,108,-290,2503,13919
341;1;3,1,-3232,28820,14003
341;1;3,2,-78,60,960,108,-290,2503,13919
351;1;3,1,-3232,28820,14003
351;1;3,2,-78,60,960,108,-290,2503,13919
361;1;3,1,-3232,28820,14003
361;1;3,2,-78,60,960,108,-290,2503,13919
371;1;3,1,-3232,28820,14003
371;1;3,2,-77,56,984,206,-483,2309,13959
381;1;3,1,-3232,28820,14003
381;1;3,2,-77,56,984,206,-483,2309,13959
391;1;3,1,-3232,28820,14003
391;1;3,2,-77,56,984,206,-483,2309,13959
401;1;3,1,-3232,28820,14003
401;1;3,2,-77,56,984,206,-483,2309,13959
411;1;3,1,-3232,28820,14003
411;1;3,2,-86,55,983,165,-375,2671,13999
421;1;3,1,-3232,28820,14003
421;1;3,2,-86,55,983,165,-375,2671,13999
431;1;3,1,-3232,28820,14103
431;1;3,2,-86,55,983,165,-375,2671,13999
441;1;3,1,-3232,28820,14103
441;1;3,2,-86,55,983,165,-375,2671,13999
451;1;3,1,-3232,28820,14103
451;1;3,2,-82,36,954,117,-402,2551,14039
461;1;3,1,-3232,28820,14103
461;1;3,2,-82,36,954,117,-402,2551,14039
471;1;3,1,-3232,28820,14103
471;1;3,2,-82,36,954,117,-402,2551,14039
481;1;3,1,-3232,28820,14103
481;1;3,2,-82,36,954,117,-402,2551,14039
491;1;3,1,-3232,28820,14103
491;1;3,2,-71,57,987,19,-361,2544,14079
501;1;3,1,-3232,28820,14103
501;1;3,2,-71,57,987,19,-361,2544,14079
511;1;3,1,-3232,28820,14103
511;1;3,2,-71,57,987,19,-361,2544,14079
521;1;3,1,-3232,28820,14103
521;1;3,2,-71,57,987,19,-361,2544,14079
531;1;3,1,-3232,28820,14203
531;1;3,2,-84,55,994,-142,-404,2614,14119
541;1;3,1,-3232,28820,14203
