Timestamp;Log Entry Type;Data
692;1;3,2,40303,25965,641217,287,63041,19288,68334
702;1;3,1,-3232,28820,68403
702;1;3,2,40303,25965,641217,287,63041,19288,68334
712;1;3,1,-3232,28820,68403
712;1;3,2,40323,25969,641154,196,63033,19306,68374
722;1;3,1,-3232,28820,68403
722;1;3,2,40323,25969,641154,196,63033,19306,68374
732;1;3,1,-3232,28820,68403
732;1;3,2,40323,25969,641154,196,63033,19306,68374
742;1;3,1,-3232,28820,68403
742;1;3,2,40323,25969,641154,196,63033,19306,68374
752;1;3,1,-3232,28820,68503
752;1;3,2,40328,25972,641166,214,63104,19455,68414
762;1;3,1,-3232,28820,68503
762;1;3,2,40328,25972,641166,214,63104,19455,68414
772;1;3,1,-3232,28820,68503
772;1;3,2,40328,25972,641166,214,63104,19455,68414
782;1;3,1,-3232,28820,68503
782;1;3,2,40328,25972,641166,214,63104,19455,68414
792;1;3,1,-3232,28820,68503
792;1;3,2,40330,25954,641205,202,62898,19484,68454
802;1;3,1,-3232,28820,68503
802;1;3,2,40330,25954,641205,202,62898,19484,68454
812;1;3,1,-3232,28820,68503
812;1;3,2,40330,25954,641205,202,62898,19484,68454
822;1;3,1,-3232,28820,68503
822;1;3,2,40330,25954,641205,202,62898,19484,68454
832;1;3,1,-3232,28820,68503
832;1;3,2,40313,25960,641269,149,62754,19209,68494
842;1;3,1,-3232,28820,68503
842;1;3,2,40313,25960,641269,149,62754,19209,68494
852;1;3,1,-3232,28820,68603
852;1;3,2,40313,25960,641269,149,62754,19209,68494
862;1;3,1,-3232,28820,68603
862;1;3,2,40313,25960,641269,149,62754,19209,68494
872;1;3,1,-3232,28820,68603
872;1;3,2,40321,25977,641375,295,62909,19351,68534
882;1;3,1,-3232,28820,68603
882;1;3,2,40321,25977,641375,295,62909,19351,68534
892;1;3,1,-3232,28820,68603
892;1;3,2,40321,25977,641375,295,62909,19351,68534
902;1;3,1,-3232,28820,68603
902;1;3,2,40321,25977,641375,295,62909,19351,68534
912;1;3,1,-3232,28820,68603
912;1;3,2,40344,25965,641410,16507,62975,19240,68574
922;1;3,1,-3232,28820,68603
922;1;3,2,40344,25965,641410,16507,62975,19240,68574
932;1;3,1,-3232,28820,68603
932;1;3,2,40344,25965,641410,16507,62975,19240,68574
942;1;3,1,-3232,28820,68703
942;1;3,2,40344,25965,641410,276,62798,19240,68574
952;1;3,1,-3232,28820,68703
952;1;3,2,40334,25951,641316,276,63054,19240,68614
962;1;3,1,-3232,28820,68703
962;1;3,2,40334,25951,641316,276,63054,19240,68614
972;1;3,1,-3232,28820,68703
972;1;3,2,40334,25951,641316,276,63054,19240,68614
982;1;3,1,-3232,28820,68703
982;1;3,2,40334,25951,641316,16508,63172,19431,68614
992;1;3,1,-3232,28820,68703
992;1;3,2,40345,25957,641167,16508,63172,19431,68654
1002;1;3,1,-3232,28820,68703
1002;1;3,2,40345,25957,641167,16508,63172,19431,68654
1012;1;3,1,-3232,28820,68703
1012;1;3,2,40345,25957,641167,16508,63172,19431,68654
2001;4;Controlling something...
2001;3;20202020
1022;1;3,1,-3232,28820,68703
1022;1;3,2,40349,25945,641167,234,63007,19136,68654
1032;1;3,1,-3232,28820,68703
1032;1;3,2,40349,25945,641088,234,63007,19136,68694
1042;1;3,1,-3232,28820,68803
1042;1;3,2,40349,25945,641088,234,63007,19136,68694
1052;1;3,1,-3232,28820,68803
1052;1;3,2,40349,25945,641088,234,63007,19136,68694
1062;1;3,1,-3232,28820,68803
1062;1;3,2,40330,25986,641188,279,62928,19403,68734
1072;1;3,1,-3232,28820,68803
1072;1;3,2,40330,25986,641188,279,62928,19403,68734
1082;1;3,1,-3232,28820,68803
1082;1;3,2,40330,25986,641188,279,62928,19403,68734
1092;1;3,1,-3232,28820,68803
1092;1;3,2,40330,25986,641188,279,62928,19403,68734
1102;1;3,1,-3232,28820,68803
1102;1;3,2,40347,25975,641360,16601,62995,19544,68774
1112;1;3,1,-3232,28820,68803
1112;1;3,2,40347,25975,641360,16601,62995,19544,68774
1122;1;3,1,-3232,28820,68803
1122;1;3,2,40347,25975,641360,16601,62995,19544,68774
1132;1;3,1,-3232,28820,68803
1132;1;3,2,40347,25975,641360,16601,62995,19544,68774
1142;1;3,1,-3203,28820,68903
1142;1;3,2,40326,25983,641356,16524,63020,19506,68814
1152;1;3,1,-3203,28820,68903
1152;1;3,2,40326,25983,641356,16524,63020,19506,68814
1162;1;3,1,-3203,28820,68903
1162;1;3,2,40326,25983,641356,16524,63020,19506,68814
1172;1;3,1,-3203,28820,68903
1172;1;3,2,40326,25983,641356,16524,63020,19506,68814
1182;1;3,1,-3203,28820,68903
1182;1;3,2,40334,25973,641209,254,62963,19300,68854
1192;1;3,1,-3203,28820,68903
1192;1;3,2,40334,25973,641209,254,62963,19300,68854
1202;1;3,1,-3203,28820,68903
1202;1;3,2,40334,25973,641209,254,62963,19300,68854
1212;1;3,1,-3203,28820,68903
1212;1;3,2,40334,25973,641209,254,62963,19300,68854
1222;1;3,1,-3203,28820,68903
1222;1;3,2,40345,25966,641095,350,63003,19361,68894
1232;1;3,1,-3203,28820,68903
1232;1;3,2,40345,25966,641095,350,63003,19361,68894
1242;1;3,1,-3232,28820,69003
1242;1;3,2,40345,25966,641095,350,63003,19361,68894
1252;1;3,1,-3232,28820,69003
1252;1;3,2,40345,25966,641095,350,63003,19361,68894
1262;1;3,1,-3232,28820,69003
1262;1;3,2,40332,25958,641051,254,63108,19483,68934
1272;1;3,1,-3232,28820,69003
1272;1;3,2,40332,25958,641051,254,63108,19483,68934
1282;1;3,1,-3232,28820,69003
1282;1;3,2,40332,25958,641051,254,63108,19483,68934
1292;1;3,1,-3232,28820,69003
1292;1;3,2,40332,25958,641051,254,63108,19483,68934
1302;1;3,1,-3232,28820,69003
1302;1;3,2,40317,25972,641087,400,62883,19383,68974
1312;1;3,1,-3232,28820,69003
1312;1;3,2,40317,25972,641087,400,62883,19383,68974
1322;1;3,1,-3232,28820,69003
1322;1;3,2,40317,25972,641087,400,62883,19383,68974
1332;1;3,1,-3232,28820,69003
1332;1;3,2,40317,25972,641087,400,62883,19383,68974
1342;1;3,1,-3232,28820,69103
1342;1;3,2,40313,25982,641206,241,63017,19444,69014
1352;1;3,1,-3232,28820,69103
1352;1;3,2,40313,25982,641206,241,63017,19444,69014
1362;1;3,1,-3232,28820,69103
1362;1;3,2,40313,25982,641206,241,63017,19444,69014
1372;1;3,1,-3232,28820,69103
1372;1;3,2,40313,25982,641206,241,63017,19444,69014
1382;1;3,1,-3232,28820,69103
1382;1;3,2,40343,25972,641357,308,62987,19372,69054
1392;1;3,1,-3232,28820,69103
1392;1;3,2,40343,25972,641357,308,62987,19372,69054
1402;1;3,1,-3232,28820,69103
1402;1;3,2,40343,25972,641357,308,62987,19372,69054
1412;1;3,1,-3232,28820,69103
1412;1;3,2,40343,25972,641357,308,62987,19372,69054
1422;1;3,1,-3232,28820,69103
1422;1;3,2,40342,25970,641436,249,62936,19400,69094
1432;1;3,1,-3232,28820,69103
1432;1;3,2,40342,25970,641436,249,62936,19400,69094
1442;1;3,1,-3232,28820,69203
1442;1;3,2,40342,25970,641436,249,62936,19400,69094
1452;1;3,1,-3232,28820,69203
1452;1;3,2,40342,25970,641436,249,62936,19400,69094
1462;1;3,1,-3232,28820,69203
1462;1;3,2,40338,25957,641339,160,62923,19370,69134
1472;1;3,1,-3232,28820,69203
1472;1;3,2,40338,25957,641339,160,62923,19370,69134
1482;1;3,1,-3232,28820,69203
1482;1;3,2,40338,25957,641339,160,62923,19370,69134
1492;1;3,1,-3232,28820,69203
1492;1;3,2,40338,25957,641339,160,62923,19370,69134
1502;1;3,1,-3232,28820,69203
1502;1;3,2,40357,25959,641233,232,63047,19276,69174
1512;1;3,1,-3232,28820,69203
1512;1;3,2,40357,25959,641233,232,63047,19276,69174
1522;1;3,1,-3232,28820,69203
1522;1;3,2,40357,25959,641233,232,63047,19276,69174
1532;1;3,1,-3232,28820,69203
1532;1;3,2,40357,25959,641233,232,63047,19276,69174
1542;1;3,1,-3203,28820,69303
1542;1;3,2,40318,25957,641219,331,63002,19379,69214
1552;1;3,1,-3203,28820,69303
1552;1;3,2,40318,25957,641219,331,63002,19379,69214
1562;1;3,1,-3203,28820,69303
1562;1;3,2,40318,25957,641219,331,63002,19379,69214
1572;1;3,1,-3203,28820,69303
1572;1;3,2,40318,25957,641219,331,63002,19379,69214
1582;1;3,1,-3203,28820,69303
1582;1;3,2,40324,25952,641267,329,62867,19362,69254
1592;1;3,1,-3203,28820,69303
1592;1;3,2,40324,25952,641267,329,62867,19362,69254
1602;1;3,1,-3203,28820,69303
1602;1;3,2,40324,25952,641267,329,62867,19362,69254
1612;1;3,1,-3203,28820,69303
1612;1;3,2,40324,25952,641267,329,62867,19362,69254
1622;1;3,1,-3203,28820,69303
1622;1;3,2,40304,25978,641372,16556,63012,19391,69294
1632;1;3,1,-3203,28820,69303
1632;1;3,2,40304,25978,641372,16556,63012,19391,69294
1642;1;3,1,-3232,28820,69403
1642;1;3,2,40304,25978,641372,16556,63012,19391,69294
1652;1;3,1,-3232,28820,69403
1652;1;3,2,40304,25978,641372,16556,63012,19391,69294
1662;1;3,1,-3232,28820,69403
1662;1;3,2,40345,25965,641471,286,62912,19541,69334
1672;1;3,1,-3232,28820,69403
1672;1;3,2,40345,25965,641471,286,62912,19541,69334
1682;1;3,1,-3232,28820,69403
1682;1;3,2,40345,25965,641471,286,62912,19541,69334
1692;1;3,1,-3232,28820,69403
1692;1;3,2,40345,25965,641471,286,62912,19541,69334
1702;1;3,1,-3232,28820,69403
1702;1;3,2,40341,25942,641410,186,63080,19560,69374
1712;1;3,1,-3232,28820,69403
1712;1;3,2,40341,25942,641410,186,63080,19560,69374
1722;1;3,1,-3232,28820,69403
1722;1;3,2,40341,25942,641410,186,63080,19560,69374
1732;1;3,1,-3232,28820,69403
1732;1;3,2,40341,25942,641410,186,63080,19560,69374
1742;1;3,1,-3232,28820,69503
1742;1;3,2,40332,25989,641243,281,63043,19281,69414
