Timestamp;Log Entry Type;Data
940;1;3,2,0,0,0,0,0,0,0
930;3;0,1,0
950;1;1,1,99643,2644,993
950;1;1,2,0,0,0,0,0,0,0
950;1;1,2,0,0,0,0,0,0,0
950;1;2,1,99649,2506,993
950;1;2,2,0,0,0,0,0,0,0
950;1;2,2,0,0,0,0,0,0,0
950;1;3,1,99695,2480,1003
950;1;3,2,0,0,0,0,0,0,0
950;1;3,2,0,0,0,0,0,0,0
940;3;0,3,0
960;1;1,1,99643,2644,1003
960;1;1,2,0,0,0,0,0,0,0
960;1;1,2,0,0,0,0,0,0,0
960;1;2,1,99645,2504,1003
960;1;2,2,0,0,0,0,0,0,0
960;1;2,2,0,0,0,0,0,0,0
960;1;3,1,99695,2480,1013
960;1;3,2,0,0,0,0,0,0,0
960;1;3,2,0,0,0,0,0,0,0
950;3;0,5,0
970;1;1,1,99643,2644,1013
970;1;1,2,0,0,0,0,0,0,0
970;1;1,2,0,0,0,0,0,0,0
970;1;2,1,99649,2506,1013
970;1;2,2,0,0,0,0,0,0,0
970;1;2,2,0,0,0,0,0,0,0
970;1;3,1,99676,2481,1023
970;1;3,2,0,0,0,0,0,0,0
970;1;3,2,0,0,0,0,0,0,0
960;3;0,7,0
980;1;1,1,99643,2644,1023
980;1;1,2,0,0,0,0,0,0,0
980;1;1,2,0,0,0,0,0,0,0
980;1;2,1,99649,2506,1023
980;1;2,2,0,0,0,0,0,0,0
980;1;2,2,0,0,0,0,0,0,0
980;1;3,1,99698,2481,1033
980;1;3,2,0,0,0,0,0,0,0
980;1;3,2,0,0,0,0,0,0,0
970;3;0,11,0
990;1;1,1,99643,2644,1033
990;1;1,2,0,0,0,0,0,0,0
990;1;1,2,0,0,0,0,0,0,0
990;1;2,1,99626,2504,1033
990;1;2,2,0,0,0,0,0,0,0
990;1;2,2,0,0,0,0,0,0,0
990;1;3,1,99676,2481,1043
990;1;3,2,-17,3,-878,0,0,0,1039
990;1;3,2,38,-31,-673,0,0,0,1039
980;3;1,-7,-2380
1000;1;1,1,99643,2644,1043
1000;1;1,2,-45,-5,-748,0,0,0,1031
1000;1;1,2,-61,22,-681,0,0,0,1039
