Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
96,900,0.9,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
97,900,0.9,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
99,900,0.9,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
100,900,0.9,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
102,910,0.91,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
103,910,0.91,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
105,910,0.91,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
106,910,0.91,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
108,910,0.91,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
109,910,0.91,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
112,920,0.92,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
113,920,0.92,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
115,920,0.92,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
116,920,0.92,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
118,920,0.92,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
119,920,0.92,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
122,930,0.93,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
123,930,0.93,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
125,930,0.93,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
126,930,0.93,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
128,930,0.93,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
129,930,0.93,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
132,940,0.94,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
133,940,0.94,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
135,940,0.94,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
136,940,0.94,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
138,940,0.94,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
139,940,0.94,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
142,950,0.95,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
143,950,0.95,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
145,950,0.95,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
146,950,0.95,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
148,950,0.95,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
149,950,0.95,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
152,960,0.96,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
153,960,0.96,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
155,960,0.96,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
156,960,0.96,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
158,960,0.96,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
159,960,0.96,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
162,970,0.97,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
163,970,0.97,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
165,970,0.97,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
166,970,0.97,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
168,970,0.97,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
