Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Type,Hour,Minute,Second,Latitude [deg],Latitude [decimal],Longitude [deg],Longitude [decimal],Satellite,Altitude,HDOP
11805,13500,13.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
12370,14000,14.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
12371,14000,14.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
12372,14000,14.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
12939,14500,14.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
12940,14500,14.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
12941,14500,14.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
13506,15000,15.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
13507,15000,15.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
13508,15000,15.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
14074,15500,15.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
14075,15500,15.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
14076,15500,15.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
14642,16000,16.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
14643,16000,16.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
14644,16000,16.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
15210,16500,16.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
15211,16500,16.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
15212,16500,16.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
15778,17000,17.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
15779,17000,17.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
15780,17000,17.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
16346,17500,17.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
16347,17500,17.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
16348,17500,17.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
16914,18000,18.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
16915,18000,18.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
16916,18000,18.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
17482,18500,18.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
17483,18500,18.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
17484,18500,18.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
18050,19000,19.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
18051,19000,19.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
18052,19000,19.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
18618,19500,19.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
18619,19500,19.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
18620,19500,19.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
19186,20000,20.0,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
19187,20000,20.0,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
19188,20000,20.0,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
19754,20500,20.5,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
19755,20500,20.5,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
19756,20500,20.5,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
