Timestamp;Log Entry Type;Data
601;1;1,3,0,0,0,0,0,0,0,0,0,0
601;1;2,3,0,0,0,0,0,0,0,0,0,0
602;1;3,3,0,0,0,0,0,0,0,0,0,0
603;1;1,3,0,0,0,0,0,0,0,0,0,0
603;1;2,3,0,0,0,0,0,0,0,0,0,0
603;1;3,3,0,0,0,0,0,0,0,0,0,0
811;1;1,1,0,0,0
811;1;1,2,0,0,0,0,0,0,0
811;1;2,1,0,0,0
811;1;2,2,0,0,0,0,0,0,0
811;1;3,1,0,0,0
811;1;3,2,0,0,0,0,0,0,0
821;1;1,1,95715,2591,21803
821;1;1,2,-32,14,-1053,4,-11,-17,21794
821;1;2,1,95665,2604,21713
821;1;2,2,5,-25,-1021,3,-15,-9,21704
821;1;3,1,0,0,0
821;1;3,2,0,0,0,0,0,0,0
831;1;1,1,95712,2589,21813
831;1;1,2,-31,13,-1053,4,-11,-18,21804
831;1;2,1,95665,2604,21723
831;1;2,2,5,-27,-1020,3,-15,-9,21714
831;1;3,1,0,0,0
831;1;3,2,0,0,0,0,0,0,0
841;1;1,1,95712,2589,21823
841;1;1,2,-31,14,-1054,5,-11,-18,21814
841;1;2,1,95685,2604,21733
841;1;2,2,5,-27,-1020,3,-15,-9,21724
841;1;3,1,0,0,0
841;1;3,2,0,0,0,0,0,0,0
851;1;1,1,95715,2591,21833
851;1;1,2,-31,14,-1053,5,-11,-18,21824
851;1;2,1,95665,2604,21743
851;1;2,2,6,-26,-1021,3,-15,-10,21734
851;1;3,1,0,0,0
851;1;3,2,0,0,0,0,0,0,0
861;1;1,1,95715,2591,21843
861;1;1,2,-30,14,-1053,5,-11,-18,21834
861;1;2,1,95704,2604,21753
861;1;2,2,5,-26,-1023,3,-15,-9,21744
861;1;3,1,0,0,0
861;1;3,2,0,0,0,0,0,0,0
871;1;1,1,95712,2589,21853
871;1;1,2,-30,14,-1054,4,-10,-18,21844
871;1;2,1,95685,2604,21763
871;1;2,2,6,-25,-1023,2,-15,-9,21754
871;1;3,1,0,0,0
871;1;3,2,0,0,0,0,0,0,0
881;1;1,1,95697,2591,21863
881;1;1,2,-31,15,-1054,5,-11,-18,21854
