Timestamp;Log Entry Type;Data
12;1;3,1,0,0,0
12;1;3,2,0,0,0,0,0,0,0
1001;4;Controlling something...
1001;3;20202020
22;1;3,1,-3232,28820,11103
22;1;3,2,-21,38,973,38,-372,2233,11047
32;1;3,1,-3232,28820,11103
32;1;3,2,-23,49,1002,108,-488,2294,11087
42;1;3,1,-3232,28820,11103
42;1;3,2,-23,49,1002,108,-488,2294,11087
52;1;3,1,-3232,28820,11103
52;1;3,2,-23,49,1002,108,-488,2294,11087
62;1;3,1,-3232,28820,11203
62;1;3,2,-23,49,1002,108,-488,2294,11087
72;1;3,1,-3232,28820,11203
72;1;3,2,-22,51,1019,207,-242,2148,11127
82;1;3,1,-3232,28820,11203
82;1;3,2,-22,51,1019,207,-242,2148,11127
92;1;3,1,-3232,28820,11203
92;1;3,2,-22,51,1019,207,-242,2148,11127
102;1;3,1,-3232,28820,11203
102;1;3,2,-22,51,1019,207,-242,2148,11127
112;1;3,1,-3232,28820,11203
112;1;3,2,-22,31,1004,132,-404,2311,11167
122;1;3,1,-3232,28820,11203
122;1;3,2,-22,31,1004,132,-404,2311,11167
132;1;3,1,-3232,28820,11203
132;1;3,2,-22,31,1004,132,-404,2311,11167
142;1;3,1,-3232,28820,11203
142;1;3,2,-22,31,1004,132,-404,2311,11167
152;1;3,1,-3232,28820,11203
152;1;3,2,-20,28,1001,34,-435,2225,11207
162;1;3,1,-3232,28820,11303
162;1;3,2,-20,28,1001,34,-435,2225,11207
172;1;3,1,-3232,28820,11303
172;1;3,2,-20,28,1001,34,-435,2225,11207
182;1;3,1,-3232,28820,11303
182;1;3,2,-20,28,1001,34,-435,2225,11207
192;1;3,1,-3232,28820,11303
192;1;3,2,-22,72,990,131,-535,2207,11247
202;1;3,1,-3232,28820,11303
202;1;3,2,-22,72,990,131,-535,2207,11247
212;1;3,1,-3232,28820,11303
212;1;3,2,-22,72,990,131,-535,2207,11247
222;1;3,1,-3232,28820,11303
222;1;3,2,-22,72,990,131,-535,2207,11247
232;1;3,1,-3232,28820,11303
232;1;3,2,-18,44,1005,-17,-348,2165,11287
242;1;3,1,-3232,28820,11303
242;1;3,2,-18,44,1005,-17,-348,2165,11287
252;1;3,1,-3232,28820,11303
252;1;3,2,-18,44,1005,-17,-348,2165,11287
262;1;3,1,-3232,28820,11403
262;1;3,2,-18,44,1005,-17,-348,2165,11287
272;1;3,1,-3232,28820,11403
272;1;3,2,-16,51,994,124,-370,2442,11327
282;1;3,1,-3232,28820,11403
282;1;3,2,-16,51,994,124,-370,2442,11327
292;1;3,1,-3232,28820,11403
292;1;3,2,-16,51,994,124,-370,2442,11327
