Timestamp;Log Entry Type;Data
522;1;3,1484835327,-1020526592,3221291136
522;1;3,2-1073283072,-1073414144,-1021378432,-1071251456,4063424,524352,1008205952
532;1;3,1484835327,-1020526592,3221291136
532;1;3,2-1073283072,-1073414144,-1021378432,-1071251456,4063424,524352,1008205952
542;1;3,1484835327,-1020198912,3221291136
542;1;3,2-1073283072,-1073414144,-1021378432,-1071251456,4063424,524352,1008205952
552;1;3,1484835327,-1020198912,131200
552;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
562;1;3,1484835327,-1019871232,131200
562;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
572;1;3,1484835327,-1019871232,131200
572;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
582;1;3,1484835327,-1019543552,131200
582;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
592;1;3,1484835327,-1019543552,131200
592;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
602;1;3,1484835327,-1023410176,131264
602;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
612;1;3,1484835327,-1023410176,131264
612;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
622;1;3,1484835327,-1023082496,131264
622;1;3,2-1073283072,-2147155968,-1020067712,-1071251456,4063424,524352,1008205952
632;1;3,1484835327,-1023082496,3221291200
632;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
642;1;3,1484835327,-1022754816,3221291200
642;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
652;1;3,1484835327,-1022754816,3221291200
652;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
662;1;3,1484835327,-1022427136,3221291200
662;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
672;1;3,1484835327,-1022427136,3221291200
672;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
682;1;3,1484835327,-1022099456,3221291200
682;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
692;1;3,1484835327,-1022099456,3221291200
692;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
702;1;3,1484835327,-1021771776,3221291200
702;1;3,2-1073283072,-2147155968,-1022951296,1076297728,4063424,524352,1008206016
712;1;3,1484835327,-1021771776,131264
712;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
722;1;3,1484835327,-1021444096,131264
722;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,2082406592
732;1;3,1484835327,-1021444096,131264
